Word,Frequency
flight,287
service,284
air,242
india,238
flight_punctuality,205
seating,187
dining,169
entertainment,137
experience,136
hours,121
delhi,120
airline,112
airport,98
working,96
luggage_handling,95
worst,93
just,90
did,77
good,75
like,73
passengers,69
hour,69
fly,67
flights,61
cabin,61
flying,61
aircraft,60
check,59
broken,57
work,57
dont,54
travel,53
got,53
plane,52
didnt,50
ground,50
ticket,49
airlines,49
class,46
said,46
asked,46
served,45
bad,45
told,45
people,45
provided,45
took,44
new,43
help,42
booked,41
water,40
old,40
ai,39
came,38
business,38
inflight,38
mumbai,38
poor,37
day,37
long,37
way,36
care,36
issue,36
horrible,36
better,35
return,35
make,35
international,35
economy,34
board,34
times,34
know,34
checkin,34
paid,33
screens,33
hrs,33
minutes,32
rude,32
dirty,31
later,31
money,31
finally,31
pass,30
overall,30
counter,30
journey,29
travelled,29
able,28
given,28
passenger,28
comfortable,28
change,28
option,27
pay,27
really,27
issues,27
extra,27
recommend,26
th,26
went,26
